Source=C#
Index	Scan	NET
0	2919	0.093205
1	3345	0.1003
2	3772	0.11448
3	4198	0.12866
4	4624	0.13575
5	5051	0.1393
6	5477	0.14639
7	5904	0.15348
8	6330	0.16058
9	6756	0.16412
10	7183	0.16767
11	7609	0.17476
12	8035	0.18185
13	8462	0.1854
14	8888	0.18894
15	9314	0.19603
16	9741	0.19958
17	10167	0.20313
18	10593	0.21022
19	11020	0.21376
20	11446	0.21731
21	11873	0.22085
22	12299	0.2244
23	12725	0.23149
24	13152	0.23504
25	13578	0.23858
26	14004	0.24213
27	14431	0.24568
28	14857	0.24922
29	15283	0.25631
30	15710	0.25986
31	16136	0.2634
32	16563	0.26695
33	16989	0.2705
34	17415	0.27404
35	17842	0.27759
36	18268	0.28468
37	18694	0.28823
38	19121	0.29177
39	19547	0.29532
40	19973	0.30241
41	20400	0.30595
42	20826	0.3095
43	21252	0.31305
44	21679	0.31659
45	22105	0.32014
46	22532	0.32368
47	22958	0.33078
48	23384	0.33432
49	23811	0.33787
50	24237	0.34141
51	24663	0.34496
52	25090	0.35205
53	25516	0.3556
54	25942	0.35914
55	26369	0.36623
56	26795	0.36978
57	27222	0.37687
58	27648	0.38042
59	28074	0.38396
60	28501	0.39105
61	28927	0.3946
62	29353	0.39815
63	29780	0.40524
64	30206	0.41233
65	30632	0.41587
66	31059	0.42297
67	31485	0.42651
68	31911	0.4336
69	32338	0.4407
70	32764	0.44779
71	33191	0.45133
72	33617	0.45842
73	34043	0.46197
74	34470	0.47261
75	34896	0.47615
76	35322	0.48679
77	35749	0.49034
78	36175	0.49743
79	36601	0.50807
80	37028	0.51161
81	37454	0.5258
82	37881	0.53643
83	38307	0.54707
84	38733	0.5648
85	39160	0.57544
86	39586	0.58253
87	40012	0.59671
88	40439	0.60735
89	40865	0.61799
90	41291	0.62508
91	41718	0.63572
92	42144	0.64635
93	42570	0.65345
94	42997	0.66054
95	43423	0.67827
96	43850	0.68536
97	44276	0.70663
98	44702	0.72082
99	45129	0.75273
