Source=C#
Scan	Interpolated_NET	Aligned_NET
1	0.04467	
2	0.044686	
3	0.044703	
4	0.04472	
5	0.044736	
6	0.044753	
7	0.044769	
8	0.044786	
9	0.044803	
10	0.044819	
11	0.044836	
12	0.044853	
13	0.044869	
14	0.044886	
15	0.044902	
16	0.044919	
17	0.044936	
18	0.044952	
19	0.044969	
20	0.044986	
21	0.045002	
22	0.045019	
23	0.045036	
24	0.045052	
25	0.045069	
26	0.045085	
27	0.045102	
28	0.045119	
29	0.045135	
30	0.045152	
31	0.045169	
32	0.045185	
33	0.045202	
34	0.045219	
35	0.045235	
36	0.045252	
37	0.045268	
38	0.045285	
39	0.045302	
40	0.045318	
41	0.045335	
42	0.045352	
43	0.045368	
44	0.045385	
45	0.045401	
46	0.045418	
47	0.045435	
48	0.045451	
49	0.045468	
50	0.045485	
51	0.045501	
52	0.045518	
53	0.045535	
54	0.045551	
55	0.045568	
56	0.045584	
57	0.045601	
58	0.045618	
59	0.045634	
60	0.045651	
61	0.045668	
62	0.045684	
63	0.045701	
64	0.045718	
65	0.045734	
66	0.045751	
67	0.045767	
68	0.045784	
69	0.045801	
70	0.045817	
71	0.045834	
72	0.045851	
73	0.045867	
74	0.045884	
75	0.0459	
76	0.045917	
77	0.045934	
78	0.04595	
79	0.045967	
80	0.045984	
81	0.046	
82	0.046017	
83	0.046034	
84	0.04605	
85	0.046067	
86	0.046083	
87	0.0461	
88	0.046117	
89	0.046133	
90	0.04615	
91	0.046167	
92	0.046183	
93	0.0462	
94	0.046217	
95	0.046233	
96	0.04625	
97	0.046266	
98	0.046283	
99	0.0463	
100	0.046316	
101	0.046333	
102	0.04635	
103	0.046366	
104	0.046383	
105	0.046399	
106	0.046416	
107	0.046433	
108	0.046449	
109	0.046466	
110	0.046483	
111	0.046499	
112	0.046516	
113	0.046533	
114	0.046549	
115	0.046566	
116	0.046582	
117	0.046599	
118	0.046616	
119	0.046632	
120	0.046649	
121	0.046666	
122	0.046682	
123	0.046699	
124	0.046715	
125	0.046732	
126	0.046749	
127	0.046765	
128	0.046782	
129	0.046799	
130	0.046815	
131	0.046832	
132	0.046849	
133	0.046865	
134	0.046882	
135	0.046898	
136	0.046915	
137	0.046932	
138	0.046948	
139	0.046965	
140	0.046982	
141	0.046998	
142	0.047015	
143	0.047032	
144	0.047048	
145	0.047065	
146	0.047081	
147	0.047098	
148	0.047115	
149	0.047131	
150	0.047148	
151	0.047165	
152	0.047181	
153	0.047198	
154	0.047214	
155	0.047231	
156	0.047248	
157	0.047264	
158	0.047281	
159	0.047298	
160	0.047314	
161	0.047331	
162	0.047348	
163	0.047364	
164	0.047381	
165	0.047397	
166	0.047414	
167	0.047431	
168	0.047447	
169	0.047464	
170	0.047481	
171	0.047497	
172	0.047514	
173	0.047531	
174	0.047547	
175	0.047564	
176	0.04758	
177	0.047597	
178	0.047614	
179	0.04763	
180	0.047647	
181	0.047664	
182	0.04768	
183	0.047697	
184	0.047713	
185	0.04773	
186	0.047747	
187	0.047763	
188	0.04778	
189	0.047797	
190	0.047813	
191	0.04783	
192	0.047847	
193	0.047863	
194	0.04788	
195	0.047896	
196	0.047913	
197	0.04793	
198	0.047946	
199	0.047963	
200	0.04798	
201	0.047996	
202	0.048013	
203	0.04803	
204	0.048046	
205	0.048063	
206	0.048079	
207	0.048096	
208	0.048113	
209	0.048129	
210	0.048146	
211	0.048163	
212	0.048179	
213	0.048196	
214	0.048212	
215	0.048229	
216	0.048246	
217	0.048262	
218	0.048279	
219	0.048296	
220	0.048312	
221	0.048329	
222	0.048346	
223	0.048362	
224	0.048379	
225	0.048395	
226	0.048412	
227	0.048429	
228	0.048445	
229	0.048462	
230	0.048479	
231	0.048495	
232	0.048512	
233	0.048528	
234	0.048545	
235	0.048562	
236	0.048578	
237	0.048595	
238	0.048612	
239	0.048628	
240	0.048645	
241	0.048662	
242	0.048678	
243	0.048695	
244	0.048711	
245	0.048728	
246	0.048745	
247	0.048761	
248	0.048778	
249	0.048795	
250	0.048811	
251	0.048828	
252	0.048845	
253	0.048861	
254	0.048878	
255	0.048894	
256	0.048911	
257	0.048928	
258	0.048944	
259	0.048961	
260	0.048978	
261	0.048994	
262	0.049011	
263	0.049027	
264	0.049044	
265	0.049061	
266	0.049077	
267	0.049094	
268	0.049111	
269	0.049127	
270	0.049144	
271	0.049161	
272	0.049177	
273	0.049194	
274	0.04921	
275	0.049227	
276	0.049244	
277	0.04926	
278	0.049277	
279	0.049294	
280	0.04931	
281	0.049327	
282	0.049344	
283	0.04936	
284	0.049377	
285	0.049393	
286	0.04941	
287	0.049427	
288	0.049443	
289	0.04946	
290	0.049477	
291	0.049493	
292	0.04951	
293	0.049526	
294	0.049543	
295	0.04956	
296	0.049576	
297	0.049593	
298	0.04961	
299	0.049626	
300	0.049643	
301	0.04966	
302	0.049676	
303	0.049693	
304	0.049709	
305	0.049726	
306	0.049743	
307	0.049759	
308	0.049776	
309	0.049793	
310	0.049809	
311	0.049826	
312	0.049843	
313	0.049859	
314	0.049876	
315	0.049892	
316	0.049909	
317	0.049926	
318	0.049942	
319	0.049959	
320	0.049976	
321	0.049992	
322	0.050009	
323	0.050025	
324	0.050042	
325	0.050059	
326	0.050075	
327	0.050092	
328	0.050109	
329	0.050125	
330	0.050142	
331	0.050159	
332	0.050175	
333	0.050192	
334	0.050208	
335	0.050225	
336	0.050242	
337	0.050258	
338	0.050275	
339	0.050292	
340	0.050308	
341	0.050325	
342	0.050341	
343	0.050358	
344	0.050375	
345	0.050391	
346	0.050408	
347	0.050425	
348	0.050441	
349	0.050458	
350	0.050475	
351	0.050491	
352	0.050508	
353	0.050524	
354	0.050541	
355	0.050558	
356	0.050574	
357	0.050591	
358	0.050608	
359	0.050624	
360	0.050641	
361	0.050658	
362	0.050674	
363	0.050691	
364	0.050707	
365	0.050724	
366	0.050741	
367	0.050757	
368	0.050774	
369	0.050791	
370	0.050807	
371	0.050824	
372	0.05084	
373	0.050857	
374	0.050874	
375	0.05089	
376	0.050907	
377	0.050924	
378	0.05094	
379	0.050957	
380	0.050974	
381	0.05099	
382	0.051007	
383	0.051023	
384	0.05104	
385	0.051057	
386	0.051073	
387	0.05109	
388	0.051107	
389	0.051123	
390	0.05114	
391	0.051157	
392	0.051173	
393	0.05119	
394	0.051206	
395	0.051223	
396	0.05124	
397	0.051256	
398	0.051273	
399	0.05129	
400	0.051306	
401	0.051323	
402	0.051339	
403	0.051356	
404	0.051373	
405	0.051389	
406	0.051406	
407	0.051423	
408	0.051439	
409	0.051456	
410	0.051473	
411	0.051489	
412	0.051506	
413	0.051522	
414	0.051539	
415	0.051556	
416	0.051572	
417	0.051589	
418	0.051606	
419	0.051622	
420	0.051639	
421	0.051655	
422	0.051672	
423	0.051689	
424	0.051705	
425	0.051722	
426	0.051739	
427	0.051755	
428	0.051772	
429	0.051789	
430	0.051805	
431	0.051822	
432	0.051838	
433	0.051855	
434	0.051872	
435	0.051888	
436	0.051905	
437	0.051922	
438	0.051938	
439	0.051955	
440	0.051972	
441	0.051988	
442	0.052005	
443	0.052021	
444	0.052038	
445	0.052055	
446	0.052071	
447	0.052088	
448	0.052105	
449	0.052121	
450	0.052138	
451	0.052154	
452	0.052171	
453	0.052188	
454	0.052204	
455	0.052221	
456	0.052238	
457	0.052254	
458	0.052271	
459	0.052288	
