Source=C#
Mass	BinCount
-9.993	11
-9.793	8
-9.593	14
-9.393	16
-9.193	8
-8.993	22
-8.793	16
-8.593	12
-8.393	17
-8.193	16
-7.993	21
-7.793	15
-7.593	21
-7.393	29
-7.193	29
-6.993	14
-6.793	22
-6.593	27
-6.393	35
-6.193	29
-5.993	34
-5.793	36
-5.593	30
-5.393	34
-5.193	50
-4.993	33
-4.793	45
-4.593	48
-4.393	45
-4.193	50
-3.993	67
-3.793	56
-3.593	66
-3.393	68
-3.193	80
-2.993	96
-2.793	101
-2.593	118
-2.393	133
-2.193	146
-1.993	160
-1.793	243
-1.593	318
-1.393	386
-1.193	517
-0.9931	626
-0.7931	785
-0.5931	945
-0.3931	1051
-0.1931	1103
0.006937	1112
0.2069	1118
0.4069	1034
0.6069	864
0.8069	628
1.007	496
1.207	360
1.407	299
1.607	238
1.807	156
2.007	156
2.207	125
2.407	101
2.607	93
2.807	74
3.007	81
3.207	77
3.407	66
3.607	37
3.807	48
4.007	52
4.207	58
4.407	44
4.607	44
4.807	44
5.007	37
5.207	30
5.407	38
5.607	32
5.807	30
6.007	25
6.207	13
6.407	25
6.607	25
6.807	35
7.007	30
7.207	20
7.407	17
7.607	14
7.807	18
8.007	13
8.207	12
8.407	16
8.607	13
8.807	16
9.007	15
9.207	13
9.407	14
9.607	10
