Source=C#
NET	BinCount
-0.062618	4
-0.061618	2
-0.060618	6
-0.059618	6
-0.058618	5
-0.057618	5
-0.056618	7
-0.055618	13
-0.054618	9
-0.053618	7
-0.052618	10
-0.051618	10
-0.050618	8
-0.049618	14
-0.048618	18
-0.047618	21
-0.046618	15
-0.045618	19
-0.044618	14
-0.043618	15
-0.042618	10
-0.041618	15
-0.040618	19
-0.039618	25
-0.038618	14
-0.037618	20
-0.036618	18
-0.035618	23
-0.034618	15
-0.033618	25
-0.032618	20
-0.031618	24
-0.030618	23
-0.029618	27
-0.028618	28
-0.027618	23
-0.026618	26
-0.025618	28
-0.024618	33
-0.023618	28
-0.022618	33
-0.021618	40
-0.020618	30
-0.019618	38
-0.018618	47
-0.017618	49
-0.016618	29
-0.015618	46
-0.014618	46
-0.013618	75
-0.012618	83
-0.011618	93
-0.010618	121
-0.009618	170
-0.008618	238
-0.007618	289
-0.006618	424
-0.005618	524
-0.004618	621
-0.003618	868
-0.002618	950
-0.001618	994
-0.00061803	1060
0.00038197	1067
0.001382	980
0.002382	975
0.003382	875
0.004382	829
0.005382	621
0.006382	527
0.007382	403
0.008382	309
0.009382	181
0.010382	149
0.011382	117
0.012382	99
0.013382	76
0.014382	51
0.015382	56
0.016382	48
0.017382	45
0.018382	38
0.019382	38
0.020382	30
0.021382	36
0.022382	36
0.023382	34
0.024382	41
0.025382	24
0.026382	23
0.027382	31
0.028382	27
0.029382	21
0.030382	19
0.031382	20
0.032382	20
0.033382	25
0.034382	21
0.035382	20
0.036382	16
0.037382	18
0.038382	20
0.039382	18
0.040382	20
0.041382	16
0.042382	21
0.043382	16
0.044382	16
0.045382	13
0.046382	15
0.047382	10
0.048382	15
0.049382	20
0.050382	14
0.051382	8
0.052382	7
0.053382	8
0.054382	15
0.055382	8
0.056382	10
0.057382	9
0.058382	7
0.059382	5
0.060382	6
0.061382	5
