Source=C#
UMCIndex	UMCNET	AlignedMass
0	0.18984	299.18
1	0.1678	299.19
2	0.19912	299.69
3	0.19428	300.18
4	0.14958	300.68
5	0.1633	301.5
6	0.1582	302.16
7	0.1856	302.17
8	0.18726	302.66
9	0.20924	302.68
10	0.15231	303.15
11	0.18425	303.16
12	0.21855	303.16
13	0.15893	303.16
14	0.16844	303.16
15	0.18879	303.67
16	0.16125	304.16
17	0.16918	304.16
18	0.21934	304.16
19	0.16434	304.16
20	0.18601	304.18
21	0.19021	305.82
22	0.18469	306.15
23	0.23496	306.71
24	0.16242	307.19
25	0.13561	307.5
26	0.17638	307.68
27	0.15041	307.68
28	0.17715	307.7
29	0.15509	307.7
30	0.17101	308.19
31	0.23576	308.68
32	0.17276	309.16
33	0.18015	309.18
34	0.1678	309.84
35	0.81134	310.18
36	0.19015	311.17
37	0.14429	311.17
38	0.79495	311.36
39	0.31653	312.15
40	0.1613	312.16
41	0.14187	312.17
42	0.15071	312.17
43	0.18172	312.17
44	0.21934	313.19
45	0.16817	313.7
46	0.15088	313.72
47	0.21929	314.2
48	0.16109	314.48
49	0.20277	314.69
50	0.2053	314.69
51	0.21588	315.2
52	0.20479	315.7
53	0.15356	316.83
54	0.81052	317.11
55	0.19199	317.17
56	0.15888	317.17
57	0.21435	317.19
58	0.22433	318.16
59	0.19328	318.16
60	0.1628	318.16
61	0.16602	318.16
62	0.1379	318.84
63	0.71475	319.09
64	0.15274	319.16
65	0.16305	319.16
66	0.13848	319.85
67	0.18739	320.17
68	0.20292	321.18
69	0.19002	321.19
70	0.20481	321.7
71	0.19147	321.7
72	0.22628	321.7
73	0.16787	321.71
74	0.18907	323.2
75	0.16922	323.67
76	0.21435	323.68
77	0.2492	323.69
78	0.17338	323.69
79	0.22048	323.84
80	0.15595	324.17
81	0.16068	324.18
82	0.2232	324.51
83	0.23925	324.69
84	0.21037	325.18
85	0.18984	325.2
86	0.13805	325.67
87	0.15223	325.68
88	0.14142	325.86
89	0.1895	326.17
90	0.1891	326.19
91	0.19912	326.53
92	0.19892	327.52
93	0.1697	327.7
94	0.23804	327.7
95	0.2197	327.87
96	0.12981	328.19
97	0.13577	328.19
98	0.16353	328.2
99	0.16483	328.69
100	0.16125	328.7
101	0.13139	328.86
102	0.16948	329.68
103	0.15304	329.68
104	0.1582	329.84
105	0.20929	330.2
106	0.14792	330.2
107	0.20929	330.67
108	0.19912	330.69
109	0.21517	330.7
110	0.22314	330.84
111	0.19576	331.19
112	0.17882	331.5
113	0.20271	332.67
114	0.26655	333.17
115	0.57684	333.18
116	0.14256	333.5
117	0.23506	333.67
118	0.13701	333.68
119	0.26646	334.17
120	0.19419	334.21
121	0.2387	334.71
122	0.20238	335.21
123	0.23835	335.71
124	0.15983	335.85
125	0.71475	336.11
126	0.13847	336.17
127	0.15274	336.19
128	0.18809	336.21
129	0.18809	336.21
130	0.18632	336.68
131	0.28203	336.7
132	0.19994	336.7
133	0.80752	337.33
134	0.18675	337.68
135	0.16358	337.86
136	0.16406	338.18
137	0.16541	338.67
138	0.27169	338.69
139	0.12028	338.84
140	0.14997	338.85
141	0.15251	339.68
142	0.19131	339.85
143	0.26548	340.19
144	0.214	341.17
145	0.22192	341.18
146	0.18649	341.22
147	0.24587	341.66
148	0.15088	341.68
149	0.26756	341.71
150	0.16587	342.2
151	0.80101	342.29
152	0.16144	342.7
153	0.14767	342.7
154	0.16887	342.86
155	0.16788	343.18
156	0.1368	343.19
157	0.19021	343.2
158	0.16226	343.2
159	0.18757	343.22
160	0.16377	343.7
161	0.23616	343.7
162	0.18157	343.84
163	0.24302	344.18
164	0.22829	344.22
165	0.18984	344.22
166	0.16173	344.68
167	0.20658	344.69
168	0.19373	344.69
169	0.16434	344.7
170	0.18057	344.84
171	0.18344	345.17
172	0.18799	345.19
173	0.1674	345.19
174	0.1895	345.22
175	0.15334	345.68
176	0.14802	345.7
177	0.2492	345.7
178	0.23125	346.19
179	0.15033	346.67
180	0.15609	346.69
181	0.14745	346.69
182	0.16493	349.19
183	0.23566	349.19
184	0.23865	349.2
185	0.13018	349.7
186	0.14012	350.19
187	0.18481	350.19
188	0.24716	350.2
189	0.26235	350.2
190	0.15688	350.21
191	0.23067	350.53
192	0.15181	351.17
193	0.25681	351.19
194	0.23732	351.7
195	0.18824	351.86
196	0.18786	351.87
197	0.20259	352.16
198	0.18942	352.18
199	0.18868	352.2
200	0.1641	352.67
201	0.14582	352.69
202	0.1852	352.7
203	0.16726	352.71
204	0.2429	353.21
205	0.16425	353.68
206	0.16671	353.7
207	0.18752	353.87
208	0.21929	354.52
209	0.17106	354.68
