Source=C#
Index	Scan	NET
0	1	0.075476
1	186	0.079021
2	372	0.082567
3	557	0.086113
4	742	0.10384
5	928	0.12157
6	1113	0.12866
7	1299	0.13221
8	1484	0.14285
9	1669	0.14639
10	1855	0.15348
11	2040	0.15703
12	2225	0.16412
13	2411	0.16767
14	2596	0.17121
15	2782	0.1783
16	2967	0.18185
17	3152	0.18894
18	3338	0.19249
19	3523	0.19958
20	3708	0.20313
21	3894	0.20667
22	4079	0.21376
23	4265	0.22085
24	4450	0.2244
25	4635	0.22795
26	4821	0.23149
27	5006	0.23858
28	5191	0.24213
29	5377	0.24922
30	5562	0.25277
31	5747	0.25631
32	5933	0.25986
33	6118	0.2634
34	6304	0.26695
35	6489	0.2705
36	6674	0.27404
37	6860	0.28113
38	7045	0.28468
39	7230	0.28823
40	7416	0.29177
41	7601	0.29532
42	7787	0.29886
43	7972	0.30241
44	8157	0.30595
45	8343	0.3095
46	8528	0.31305
47	8713	0.31659
48	8899	0.32014
49	9084	0.32368
50	9270	0.32723
51	9455	0.33078
52	9640	0.33432
53	9826	0.33787
54	10011	0.34141
55	10196	0.3485
56	10382	0.35205
57	10567	0.3556
58	10752	0.35914
59	10938	0.36269
60	11123	0.36623
61	11309	0.37332
62	11494	0.37687
63	11679	0.38042
64	11865	0.38396
65	12050	0.38751
66	12235	0.3946
67	12421	0.39815
68	12606	0.40169
69	12792	0.40878
70	12977	0.41233
71	13162	0.41942
72	13348	0.42297
73	13533	0.42651
74	13718	0.4336
75	13904	0.4407
76	14089	0.44424
77	14274	0.45133
78	14460	0.45842
79	14645	0.46197
80	14831	0.46906
81	15016	0.47615
82	15201	0.4797
83	15387	0.48679
84	15572	0.49388
85	15757	0.50452
86	15943	0.51161
87	16128	0.52225
88	16314	0.53289
89	16499	0.53998
90	16684	0.55771
91	16870	0.56835
92	17055	0.57898
93	17240	0.59671
94	17426	0.6109
95	17611	0.62508
96	17797	0.63926
97	17982	0.67472
98	18167	0.71018
99	18353	0.74209
