Source=C#
Mass	BinCount
-9.997	27
-9.797	23
-9.597	31
-9.397	27
-9.197	30
-8.997	25
-8.797	27
-8.597	24
-8.397	33
-8.197	37
-7.997	19
-7.797	19
-7.597	27
-7.397	24
-7.197	27
-6.997	31
-6.797	31
-6.597	43
-6.397	36
-6.197	47
-5.997	38
-5.797	43
-5.597	30
-5.397	41
-5.197	52
-4.997	57
-4.797	65
-4.597	63
-4.397	99
-4.197	128
-3.997	188
-3.797	324
-3.597	473
-3.397	696
-3.197	927
-2.997	1138
-2.797	1383
-2.597	1526
-2.397	1626
-2.197	1640
-1.997	1458
-1.797	1219
-1.597	906
-1.397	767
-1.197	578
-0.9971	427
-0.7971	321
-0.5971	268
-0.3971	173
-0.1971	151
0.002892	93
0.2029	87
0.4029	82
0.6029	67
0.8029	56
1.003	52
1.203	45
1.403	36
1.603	37
1.803	36
2.003	31
2.203	39
2.403	20
2.603	19
2.803	31
3.003	33
3.203	27
3.403	22
3.603	24
3.803	39
4.003	40
4.203	37
4.403	33
4.603	24
4.803	34
5.003	41
5.203	37
5.403	41
5.603	25
5.803	25
6.003	36
6.203	39
6.403	34
6.603	35
6.803	41
7.003	32
7.203	35
7.403	35
7.603	35
7.803	34
8.003	38
8.203	32
8.403	47
8.603	34
8.803	36
9.003	36
9.203	28
9.403	40
9.603	66
