Source=C#
UMCIndex	PMTTag_ID	NETError	MassErrorPPM Original	MassErrorPPM AfterAlignment	Feature_Index	PMTTag_Index
2423	253046496	0.0058148	-3.2781	-3.2781	2441	0
2424	253046496	-0.012904	-3.0567	-3.0567	2442	0
2422	253046496	-0.003046	-0.21334	-0.21334	2444	0
2427	2821233	0.00068828	-2.9909	-2.9909	2445	1
2665	296009	0.013131	-1.8461	-1.8461	2685	6
2737	116881	0.0069928	-2.0529	-2.0529	2758	8
2741	1070472	0.00338	-1.9134	-1.9134	2761	9
2841	3445969	0.0013793	-2.7783	-2.7783	2861	11
2842	3445969	-0.0019873	-2.3424	-2.3424	2862	11
2843	3445969	0.0075516	-1.9226	-1.9226	2864	11
2889	125865380	0.0090864	-3.6332	-3.6332	2910	14
2967	3568176	0.016037	-2.3816	-2.3816	2990	18
3033	99332034	0.00024933	-2.0365	-2.0365	3055	20
3147	100114	0.00015541	-1.5319	-1.5319	3169	22
3266	125504	0.0068067	-1.698	-1.698	3289	25
3311	522909	0.0097058	-2.786	-2.786	3334	26
3332	266516524	-0.0042942	6.6046	6.6046	3355	27
3333	266517	0.0049101	-2.2745	-2.2745	3356	28
3378	34438940	0.0075588	-2.1887	-2.1887	3401	32
3413	56159	0.0013687	-2.1429	-2.1429	3438	34
3414	7989031	-0.015124	-8.0092	-8.0092	3439	35
3418	7989031	0.002488	-2.0309	-2.0309	3441	35
3447	793238	0.01766	-3.5691	-3.5691	3470	37
3449	793238	0.0094228	-2.4452	-2.4452	3473	37
3471	97861635	0.0032014	-2.1677	-2.1677	3495	41
3478	97584749	0.0015356	-3.3166	-3.3166	3502	43
3479	538917	-0.0056809	-1.1662	-1.1662	3503	42
3488	1274831	0.0029425	-5.0486	-5.0486	3512	44
3492	2897615	0.0038747	-1.4805	-1.4805	3516	45
3498	295932	0.005947	-2.1979	-2.1979	3522	46
3524	60684	0.0088558	-2.1239	-2.1239	3550	50
3537	266076056	0.0026365	-1.452	-1.452	3561	52
3569	56167	0.00031257	-1.9605	-1.9605	3594	57
3581	112095	-0.0024756	-1.5562	-1.5562	3606	59
3612	417841	0.0049496	-2.476	-2.476	3638	62
3616	417841	-0.017455	-2.2522	-2.2522	3639	62
3615	243278	-0.0010726	-2.1777	-2.1777	3640	61
3630	332736621	0.0034431	-1.9968	-1.9968	3654	63
3631	332736621	-0.0112	5.3463	5.3463	3655	63
3632	332736621	0.01246	6.3443	6.3443	3656	63
3670	1768969	-0.0046804	-3.4492	-3.4492	3694	66
3671	1093348	0.0038775	-2.7056	-2.7056	3695	65
3673	1093348	-0.0018425	-2.0364	-2.0364	3696	65
3672	1768969	-0.011912	-2.0364	-2.0364	3697	66
3682	1070403	0.012991	8.0488	8.0488	3706	67
3701	128485	0.0086459	-2.0811	-2.0811	3725	68
3702	601612	0.0025677	-3.1428	-3.1428	3727	69
3704	99435329	0.013091	-7.6613	-7.6613	3728	70
3716	52474	0.0038368	-2.4257	-2.4257	3740	71
3748	683959	0.0086779	-2.0272	-2.0272	3772	76
3779	497376	0.016639	-3.5171	-3.5171	3802	77
3778	497376	0.0054558	-1.7949	-1.7949	3803	77
3780	497376	-0.015172	-1.1031	-1.1031	3804	77
3796	56156	0.012717	-2.136	-2.136	3823	78
3827	1373471	0.0043551	-2.6795	-2.6795	3852	79
3840	36079915	-0.0013065	-2.9166	-2.9166	3865	81
3848	368287	0.019096	-2.2847	-2.2847	3872	83
3847	368287	-0.0025136	-1.7076	-1.7076	3873	83
3851	1977570	-0.0059344	-9.5159	-9.5159	3876	84
3852	1977570	0.0074539	-2.6869	-2.6869	3877	84
3863	683946	0.015565	-2.221	-2.221	3888	88
3862	683946	0.0061274	-1.8052	-1.8052	3892	88
3861	27933	0.0062172	-1.6958	-1.6958	3893	86
3894	30609	-0.0070537	-4.1871	-4.1871	3918	91
3895	30609	0.0068024	-2.4534	-2.4534	3924	91
3916	24387143	0.0011961	-7.6872	-7.6872	3941	92
3948	3734033	0.011557	-2.7793	-2.7793	3972	96
3947	253064	0.0075502	-2.3362	-2.3362	3973	95
3954	470783	0.0048196	-2.2134	-2.2134	3979	97
3956	27919	0.0066073	-2.4406	-2.4406	3981	99
3962	27919	-0.0040925	-1.9184	-1.9184	3984	99
3966	2023417	0.0032444	-2.0275	-2.0275	3992	101
3974	41783932	0.010379	-3.3552	-3.3552	3999	103
3976	2238971	-0.013614	-2.1911	-2.1911	4001	105
3979	189916466	0.010248	-1.8719	-1.8719	4004	108
3984	2559479	-0.017884	-3.3548	-3.3548	4010	111
3987	607689	0.0077752	-2.8992	-2.8992	4011	110
3990	3568108	-0.018743	-1.8795	-1.8795	4014	112
3991	3568108	0.0096006	-1.8216	-1.8216	4015	112
3992	3568108	0.015492	-1.7638	-1.7638	4016	112
3986	3568108	-0.0042554	-1.4745	-1.4745	4017	112
3996	3514139	-0.013448	-2.1876	-2.1876	4023	113
3999	3514139	0.0076632	-2.0574	-2.0574	4024	113
4007	56166	0.003778	-2.2231	-2.2231	4032	114
4017	213959355	0.0041223	-7.7856	-7.7856	4042	115
4030	97528753	-0.0037249	-6.899	-6.899	4055	117
4034	1130524	0.012202	-3.0104	-3.0104	4059	119
4035	140719118	0.0063332	-1.7845	-1.7845	4060	120
4041	3670614	0.0054575	-2.3571	-2.3571	4066	121
4050	872746	0.011739	-2.1007	-2.1007	4075	124
4057	2745959	0.0064705	-1.656	-1.656	4082	126
4063	3360575	-0.0016199	-2.3891	-2.3891	4088	127
4064	27796	0.0075083	-3.6909	-3.6909	4089	128
4066	3566605	-0.0062391	-2.0169	-2.0169	4091	129
4071	3514016	0.0071136	-2.2586	-2.2586	4096	130
4094	56176	0.000339	-1.4013	-1.4013	4119	133
4101	645133	0.012013	-2.8013	-2.8013	4126	135
4106	3514375	0.0033888	-2.1906	-2.1906	4132	138
4107	330257	0.0045917	-2.1476	-2.1476	4134	137
4128	232814	0.010686	-4.1773	-4.1773	4154	140
4132	232814	-0.0025392	-2.3186	-2.3186	4156	140
4129	286823	0.0050096	-2.1542	-2.1542	4157	141
4147	190976869	0.0053187	-2.5784	-2.5784	4173	145
4149	190976869	-0.012255	8.0513	8.0513	4175	145
4151	30632	0.0072698	-2.5746	-2.5746	4178	146
4152	43880846	-0.0016469	-2.5389	-2.5389	4179	147
4157	3880822	0.0031852	-1.8315	-1.8315	4183	150
4169	125911178	-0.015955	-7.8339	-7.8339	4195	152
4172	125911178	0.00042593	-2.2022	-2.2022	4199	152
4189	46343	0.0095051	-2.1754	-2.1754	4215	156
4194	56053	0.00317	-2.2426	-2.2426	4220	157
4196	4085721	0.0038858	-2.3029	-2.3029	4222	160
4217	8620334	0.002844	-2.0665	-2.0665	4243	165
4218	1291498	0.0049981	-2.1294	-2.1294	4244	166
4223	328864	-0.013149	-1.498	-1.498	4249	169
4226	1604663	0.007896	-1.2453	-1.2453	4252	171
4253	420697	0.0098632	-3.0079	-3.0079	4279	174
4255	1747887	-0.0012198	-2.5295	-2.5295	4281	175
4256	1747887	0.0073761	-2.1331	-2.1331	4282	175
4261	216883	-0.0002456	-2.2365	-2.2365	4288	178
4263	861450	0.01023	-1.9676	-1.9676	4289	180
4269	782740	0.011263	-1.885	-1.885	4295	183
4274	434017962	-0.004829	-1.8844	-1.8844	4300	185
4277	3895010	0.0047982	-2.32	-2.32	4303	186
4301	4137386	0.00060796	-2.2574	-2.2574	4328	189
4312	189829200	0.007152	-1.3122	-1.3122	4338	190
4339	314670	0.012658	-2.2514	-2.2514	4365	194
4341	1403707	0.018695	-2.1179	-2.1179	4366	195
4338	314670	-0.0056485	-2.0616	-2.0616	4367	194
4353	993710	-0.0044334	-3.6823	-3.6823	4379	196
4355	993710	0.0041156	-3.0015	-3.0015	4380	196
4354	50736548	-0.0087018	-1.1135	-1.1135	4381	197
4357	7983609	0.00077769	-1.705	-1.705	4382	199
4359	79156652	-0.00033036	-1.8849	-1.8849	4385	200
4361	198607	0.00057667	-1.9404	-1.9404	4389	201
4372	2215745	-0.016901	-2.2822	-2.2822	4398	202
4373	2797949	0.0078898	-1.9907	-1.9907	4399	203
4374	2797949	-0.001158	3.4203	3.4203	4400	203
4383	101457639	-0.014763	-3.1341	-3.1341	4410	208
4398	107044887	0.004449	-3.0907	-3.0907	4424	210
4404	243124	-0.011928	-2.2189	-2.2189	4429	211
4403	17076647	-0.0020849	-1.9669	-1.9669	4430	212
4412	1061770	0.017955	-1.9143	-1.9143	4439	213
4414	1061770	-0.0019018	-1.5503	-1.5503	4440	213
4416	3515393	0.01013	-2.2731	-2.2731	4441	214
4422	1394547	0.0035816	-2.2355	-2.2355	4446	216
4418	27901	0.0011399	-1.9346	-1.9346	4447	215
4446	24305131	0.004854	-2.517	-2.517	4472	218
4445	24305131	0.01592	-1.8321	-1.8321	4475	218
4450	216955	0.0013844	-1.5944	-1.5944	4477	217
4461	76034	0.0076448	-0.76858	-0.76858	4487	219
4464	1150817	-0.0021668	-1.1724	-1.1724	4490	220
4467	129794	0.0050687	-2.3693	-2.3693	4493	222
4468	47580	0.0023456	-1.4271	-1.4271	4494	221
4469	2238805	0.010806	-1.8967	-1.8967	4495	225
4471	243187	0.00030576	-1.5417	-1.5417	4497	227
4486	243174	0.0083661	-1.8546	-1.8546	4512	232
4487	2035794	0.008012	-3.2082	-3.2082	4513	235
4489	252952	0.0064068	-2.2338	-2.2338	4515	234
4492	189988035	-0.00046971	-2.5058	-2.5058	4519	236
4493	101480144	-0.000071407	-2.2819	-2.2819	4520	238
4496	541289	0.003058	-1.774	-1.774	4522	239
4509	2320992	0.0038279	2.7525	2.7525	4534	240
4507	615075	0.0042932	-2.9343	-2.9343	4535	242
4510	2320992	0.013507	6.7142	6.7142	4536	240
4512	27896	0.019024	-2.8816	-2.8816	4538	243
4513	27896	0.0081131	-2.263	-2.263	4540	243
4515	615075	-0.012439	8.7423	8.7423	4541	242
4516	3358189	0.0080955	-1.6027	-1.6027	4542	244
4517	3358189	0.011462	-1.151	-1.151	4543	244
4533	78978616	0.0087633	-1.6703	-1.6703	4559	245
4536	75813	0.014543	-2.8661	-2.8661	4560	246
4534	616412	0.010157	-1.6723	-1.6723	4562	248
4540	274019	0.0034542	-3.386	-3.386	4566	251
4542	274019	-0.0073004	-1.984	-1.984	4568	251
4544	841271	-0.013607	-1.9562	-1.9562	4569	252
4545	841271	0.0096866	-1.9423	-1.9423	4570	252
4547	1033197	0.00096301	-2.4995	-2.4995	4573	255
4553	162710	-0.0059629	-2.4689	-2.4689	4579	256
4555	2330822	-0.012681	-2.3465	-2.3465	4581	258
4557	2330822	-0.016469	-2.2079	-2.2079	4582	258
4558	2330822	-0.0002201	-2.1524	-2.1524	4583	258
4556	1375367	0.0081001	-1.6395	-1.6395	4584	257
4559	194766	0.0068225	-1.2871	-1.2871	4585	260
4575	27884	0.010698	-2.8786	-2.8786	4604	261
4583	365573	0.012664	-3.2448	-3.2448	4608	264
4582	365573	0.0060632	-2.1996	-2.1996	4611	264
4590	129753	0.0054572	-1.8527	-1.8527	4616	266
4595	127521294	0.0033022	-1.4857	-1.4857	4621	267
4612	216199124	-0.0036861	-0.94852	-0.94852	4638	271
4614	56140	0.0082643	-1.9716	-1.9716	4640	272
4619	7988929	0.002729	-1.4626	-1.4626	4645	274
4628	79166537	-0.012339	-2.1606	-2.1606	4653	277
4627	34438936	0.0043644	-2.1331	-2.1331	4654	276
4631	42376651	0.0069464	-1.4352	-1.4352	4657	279
4649	2821020	0.001542	-2.3442	-2.3442	4675	283
4651	189932365	0.0014991	-1.9455	-1.9455	4677	285
4652	189932365	-0.010494	-1.6156	-1.6156	4678	285
4659	2673517	0.0017505	-0.95307	-0.95307	4685	287
4665	36285519	-0.013806	-2.6891	-2.6891	4690	288
4664	36285519	0.0064406	-2.1537	-2.1537	4691	288
4667	36285519	0.012223	-1.886	-1.886	4692	288
4672	75857	0.00089196	-2.8992	-2.8992	4698	290
4675	75857	0.014195	-2.5835	-2.5835	4700	290
4673	30773	0.0060551	-2.3226	-2.3226	4701	289
4681	30636	0.00090788	-2.2295	-2.2295	4707	292
4690	388132	0.0034261	-1.8344	-1.8344	4716	296
4692	615041	-0.012561	-2.4615	-2.4615	4718	298
4693	615041	0.0015053	1.0208	1.0208	4720	298
4697	832049	-0.0080616	-8.1754	-8.1754	4723	300
4699	832049	0.0193	-1.8005	-1.8005	4725	300
4700	3359508	-0.013353	9.176	9.176	4726	299
4707	75888	-0.015624	-2.4814	-2.4814	4731	301
4706	75888	0.003235	-2.4539	-2.4539	4733	301
4717	526129	0.0032082	-2.8507	-2.8507	4743	304
4725	88721998	-0.0012355	-2.4516	-2.4516	4752	306
4728	88721998	0.0152	4.5307	4.5307	4753	306
4726	2910065	0.0023079	-2.8089	-2.8089	4755	309
4729	213138	0.0046728	-2.7815	-2.7815	4756	307
4731	2910065	-0.01313	-1.1044	-1.1044	4758	309
4732	236291093	-0.0013485	-2.3659	-2.3659	4760	311
4735	75833	0.0050317	-2.1716	-2.1716	4762	312
4742	13147275	-0.015146	-2.7348	-2.7348	4768	313
4743	13147275	0.015045	-2.5297	-2.5297	4769	313
4741	13147275	0.0030823	-2.2563	-2.2563	4770	313
4744	2897950	0.012579	-2.0071	-2.0071	4772	314
4745	56363	0.0043439	-2.7308	-2.7308	4773	315
36833	2276363	0.0066622	-6.5544	-6.5544	4793	319
4766	3796888	0.0070301	-0.3692	-0.3692	4795	320
4767	3796888	-0.013349	6.6557	6.6557	4796	320
4769	440377405	0.006134	-2.757	-2.757	4797	321
4772	216230826	0.00090986	-1.8514	-1.8514	4801	322
4775	7960932	-0.018036	-8.1111	-8.1111	4804	323
4776	7960932	0.011406	-2.3975	-2.3975	4805	323
4781	420826352	0.0076704	-2.6422	-2.6422	4810	324
4782	88733670	-0.0039625	-6.5956	-6.5956	4811	325
4794	97907305	-0.00045724	-7.1764	-7.1764	4822	329
4793	97907305	0.015581	-6.9381	-6.9381	4823	329
4791	97907305	0.0043979	-4.562	-4.562	4825	329
4807	895514	0.005362	-2.2038	-2.2038	4837	338
4812	42460359	-0.0027878	-3.0625	-3.0625	4841	340
4813	7976703	-0.0018345	-2.5049	-2.5049	4842	339
4811	7976703	0.007182	-2.4097	-2.4097	4843	339
4820	46218482	-0.0049451	-2.309	-2.309	4850	344
4827	52452	-0.0063852	-2.334	-2.334	4857	345
4830	27949	0.017339	-2.6889	-2.6889	4859	349
