Source=C#
Scan	Interpolated_NET	Aligned_NET
1	0.075476	0.075476
2	0.075495	0.075495
3	0.075514	0.075514
4	0.075533	0.075533
5	0.075552	0.075552
6	0.075571	0.075571
7	0.07559	0.07559
8	0.07561	0.07561
9	0.075629	0.075629
10	0.075648	0.075648
11	0.075667	0.075667
12	0.075686	0.075686
13	0.075705	0.075705
14	0.075724	0.075724
15	0.075743	0.075743
16	0.075763	0.075763
17	0.075782	0.075782
18	0.075801	0.075801
19	0.07582	0.07582
20	0.075839	0.075839
21	0.075858	0.075858
22	0.075877	0.075877
23	0.075896	0.075896
24	0.075916	0.075916
25	0.075935	0.075935
26	0.075954	0.075954
27	0.075973	0.075973
28	0.075992	0.075992
29	0.076011	0.076011
30	0.07603	0.07603
31	0.076049	0.076049
32	0.076069	0.076069
33	0.076088	0.076088
34	0.076107	0.076107
35	0.076126	0.076126
36	0.076145	0.076145
37	0.076164	0.076164
38	0.076183	0.076183
39	0.076203	0.076203
40	0.076222	0.076222
41	0.076241	0.076241
42	0.07626	0.07626
43	0.076279	0.076279
44	0.076298	0.076298
45	0.076317	0.076317
46	0.076336	0.076336
47	0.076356	0.076356
48	0.076375	0.076375
49	0.076394	0.076394
50	0.076413	0.076413
51	0.076432	0.076432
52	0.076451	0.076451
53	0.07647	0.07647
54	0.076489	0.076489
55	0.076509	0.076509
56	0.076528	0.076528
57	0.076547	0.076547
58	0.076566	0.076566
59	0.076585	0.076585
60	0.076604	0.076604
61	0.076623	0.076623
62	0.076642	0.076642
63	0.076662	0.076662
64	0.076681	0.076681
65	0.0767	0.0767
66	0.076719	0.076719
67	0.076738	0.076738
68	0.076757	0.076757
69	0.076776	0.076776
70	0.076795	0.076795
71	0.076815	0.076815
72	0.076834	0.076834
73	0.076853	0.076853
74	0.076872	0.076872
75	0.076891	0.076891
76	0.07691	0.07691
77	0.076929	0.076929
78	0.076949	0.076949
79	0.076968	0.076968
80	0.076987	0.076987
81	0.077006	0.077006
82	0.077025	0.077025
83	0.077044	0.077044
84	0.077063	0.077063
85	0.077082	0.077082
86	0.077102	0.077102
87	0.077121	0.077121
88	0.07714	0.07714
89	0.077159	0.077159
90	0.077178	0.077178
91	0.077197	0.077197
92	0.077216	0.077216
93	0.077235	0.077235
94	0.077255	0.077255
95	0.077274	0.077274
96	0.077293	0.077293
97	0.077312	0.077312
98	0.077331	0.077331
99	0.07735	0.07735
100	0.077369	0.077369
101	0.077388	0.077388
102	0.077408	0.077408
103	0.077427	0.077427
104	0.077446	0.077446
105	0.077465	0.077465
106	0.077484	0.077484
107	0.077503	0.077503
108	0.077522	0.077522
109	0.077541	0.077541
110	0.077561	0.077561
111	0.07758	0.07758
112	0.077599	0.077599
113	0.077618	0.077618
114	0.077637	0.077637
115	0.077656	0.077656
116	0.077675	0.077675
117	0.077695	0.077695
118	0.077714	0.077714
119	0.077733	0.077733
120	0.077752	0.077752
121	0.077771	0.077771
122	0.07779	0.07779
123	0.077809	0.077809
124	0.077828	0.077828
125	0.077848	0.077848
126	0.077867	0.077867
127	0.077886	0.077886
128	0.077905	0.077905
129	0.077924	0.077924
130	0.077943	0.077943
131	0.077962	0.077962
132	0.077981	0.077981
133	0.078001	0.078001
134	0.07802	0.07802
135	0.078039	0.078039
136	0.078058	0.078058
137	0.078077	0.078077
138	0.078096	0.078096
139	0.078115	0.078115
140	0.078134	0.078134
141	0.078154	0.078154
142	0.078173	0.078173
143	0.078192	0.078192
144	0.078211	0.078211
145	0.07823	0.07823
146	0.078249	0.078249
147	0.078268	0.078268
148	0.078288	0.078288
149	0.078307	0.078307
150	0.078326	0.078326
151	0.078345	0.078345
152	0.078364	0.078364
153	0.078383	0.078383
154	0.078402	0.078402
155	0.078421	0.078421
156	0.078441	0.078441
157	0.07846	0.07846
158	0.078479	0.078479
159	0.078498	0.078498
160	0.078517	0.078517
161	0.078536	0.078536
162	0.078555	0.078555
163	0.078574	0.078574
164	0.078594	0.078594
165	0.078613	0.078613
166	0.078632	0.078632
167	0.078651	0.078651
168	0.07867	0.07867
169	0.078689	0.078689
170	0.078708	0.078708
171	0.078727	0.078727
172	0.078747	0.078747
173	0.078766	0.078766
174	0.078785	0.078785
175	0.078804	0.078804
176	0.078823	0.078823
177	0.078842	0.078842
178	0.078861	0.078861
179	0.07888	0.07888
180	0.0789	0.0789
181	0.078919	0.078919
182	0.078938	0.078938
183	0.078957	0.078957
184	0.078976	0.078976
185	0.078995	0.078995
186	0.079014	0.079014
