Source=C#
UMCIndex	PMTTag_ID	NETError	MassErrorPPM Original	MassErrorPPM AfterAlignment	Feature_Index	PMTTag_Index
2425	253046496	0.035787	-3.3802	-0.70892	2440	0
2423	253046496	0.0078642	-3.2781	-0.37545	2441	0
2424	253046496	-0.014447	-3.0567	-0.1131	2442	0
2426	253046496	0.056984	-2.3246	0.17678	2443	0
2422	253046496	-0.0041445	-0.21334	2.7324	2444	0
2427	2821233	0.00068828	-2.9909	-0.25939	2445	1
2581	219670205	-0.061498	-3.4075	-0.80472	2600	5
2583	219670205	-0.025049	-2.044	0.57681	2601	5
2582	219670205	-0.037152	-1.9276	0.62742	2602	5
2664	296009	0.05459	-3.3609	-0.58904	2684	6
2665	296009	0.01158	-1.8461	0.7515	2685	6
2738	116881	0.050634	-3.5202	-0.62329	2757	8
2737	116881	0.010539	-2.0529	0.38203	2758	8
2741	1070472	0.0069258	-1.9134	0.55186	2761	9
2742	1070472	0.058142	-1.6036	0.89669	2762	9
2841	3445969	0.0013793	-2.7783	-0.32675	2861	11
2842	3445969	-0.0019873	-2.3424	-0.1697	2862	11
2843	3445969	0.0074813	-1.9226	0.20982	2864	11
2889	125865380	0.010933	-3.6332	-0.81036	2910	14
2946	538924	0.065027	-2.1175	0.37488	2972	15
2963	199927895	0.058466	-3.385	-0.52519	2985	16
2966	3568176	0.025841	-3.8775	-1.1298	2988	18
2967	3568176	0.016037	-2.3816	0.17487	2990	18
2968	3568176	-0.02264	-2.1111	0.45686	2991	18
2970	3568176	0.034437	-1.8406	0.54841	2992	18
3028	99332034	-0.032723	-10.383	-7.6119	3049	20
3029	603959	-0.025705	-9.1005	-6.5451	3050	19
3030	99332034	-0.051598	-8.1977	-5.9081	3052	20
3027	603959	-0.034121	-2.0682	0.29198	3054	19
3033	99332034	0.0037952	-2.0365	0.57596	3055	20
3147	100114	0.0000152	-1.5319	0.68516	3169	22
3156	2948330	-0.027343	-3.1857	-0.59283	3177	24
3266	125504	0.0068067	-1.698	0.53121	3289	25
3311	522909	0.009028	-2.786	-0.13552	3334	26
3332	266516524	-0.0007484	6.6046	9.4948	3355	27
3333	266517	0.0027355	-2.2745	-0.12877	3356	28
