Source=C#
NET	BinCount
-0.068014	17
-0.067014	10
-0.066014	15
-0.065014	13
-0.064014	11
-0.063014	16
-0.062014	24
-0.061014	22
-0.060014	16
-0.059014	20
-0.058014	27
-0.057014	28
-0.056014	32
-0.055014	18
-0.054014	27
-0.053014	31
-0.052014	19
-0.051014	38
-0.050014	36
-0.049014	45
-0.048014	27
-0.047014	38
-0.046014	42
-0.045014	36
-0.044014	34
-0.043014	35
-0.042014	41
-0.041014	44
-0.040014	45
-0.039014	52
-0.038014	45
-0.037014	39
-0.036014	47
-0.035014	57
-0.034014	61
-0.033014	56
-0.032014	56
-0.031014	60
-0.030014	67
-0.029014	59
-0.028014	61
-0.027014	61
-0.026014	63
-0.025014	68
-0.024014	87
-0.023014	94
-0.022014	69
-0.021014	70
-0.020014	81
-0.019014	85
-0.018014	88
-0.017014	77
-0.016014	95
-0.015014	99
-0.014014	122
-0.013014	121
-0.012014	138
-0.011014	128
-0.010014	146
-0.0090138	223
-0.0080138	253
-0.0070138	318
-0.0060138	455
-0.0050138	579
-0.0040138	860
-0.0030138	1195
-0.0020138	1458
-0.0010138	1807
-0.000013829	1872
0.00098617	1801
0.0019862	1528
0.0029862	1248
0.0039862	909
0.0049862	652
0.0059862	487
0.0069862	366
0.0079862	284
0.0089862	208
0.0099862	197
0.010986	161
0.011986	134
0.012986	105
0.013986	125
0.014986	112
0.015986	103
0.016986	92
0.017986	99
0.018986	72
0.019986	78
0.020986	81
0.021986	69
0.022986	93
0.023986	81
0.024986	51
0.025986	59
0.026986	58
0.027986	61
0.028986	59
0.029986	68
0.030986	63
0.031986	49
0.032986	62
0.033986	48
0.034986	65
0.035986	51
0.036986	59
0.037986	42
0.038986	52
0.039986	50
0.040986	59
0.041986	47
0.042986	42
0.043986	55
0.044986	47
0.045986	38
0.046986	44
0.047986	40
0.048986	33
0.049986	38
0.050986	35
0.051986	34
0.052986	31
0.053986	30
0.054986	27
0.055986	40
0.056986	27
0.057986	30
0.058986	27
0.059986	20
0.060986	20
0.061986	20
0.062986	16
0.063986	13
0.064986	16
0.065986	16
0.066986	10
